[INFO] [1775717388.869098458] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775717388.870748950] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775717418.872015707] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775717448.984132264] [fleet_scheduler]: Cost for robot_7 -> clean_room_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.985228135] [fleet_scheduler]: Cost for robot_7 -> transport_equipment_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717448.986589396] [fleet_scheduler]: Cost for robot_7 -> restock_supplies_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.988470493] [fleet_scheduler]: Cost for robot_7 -> move_patient_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.990213973] [fleet_scheduler]: Cost for robot_7 -> deliver_lab_results_1: distance=9.0, congestion=7.0, predicted=51.00
[INFO] [1775717448.992011948] [fleet_scheduler]: Cost for robot_7 -> support_mri_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.993662606] [fleet_scheduler]: Published assignment: robot_1: support_mri_1 (Radiology -> MRI)
[INFO] [1775717448.995209537] [fleet_scheduler]: Published assignment: robot_2: assist_patient_1 (ER -> ICU)
[INFO] [1775717448.996784830] [fleet_scheduler]: Published assignment: robot_3: restock_supplies_1 (Supply -> Pharmacy)
[INFO] [1775717448.998485644] [fleet_scheduler]: Published assignment: robot_4: transport_equipment_1 (Radiology -> ICU)
[INFO] [1775717449.000138263] [fleet_scheduler]: Published assignment: robot_5: clean_room_1 (NurseStation -> WardB)
[INFO] [1775717449.001762541] [fleet_scheduler]: Published assignment: robot_6: pickup_samples_1 (Lab -> Radiology)
[INFO] [1775717449.003400368] [fleet_scheduler]: Published assignment: robot_7: deliver_meds_1 (Pharmacy -> WardB)
[INFO] [1775717449.004866815] [fleet_scheduler]: Scheduler cycle completed
[INFO] [1775717478.872620380] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775717478.875390541] [fleet_scheduler]: Cost for robot_1 -> deliver_meds_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717478.877251531] [fleet_scheduler]: Cost for robot_1 -> pickup_samples_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717478.878575858] [fleet_scheduler]: Cost for robot_1 -> assist_patient_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717478.879604440] [fleet_scheduler]: Cost for robot_1 -> deliver_food_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717478.880508789] [fleet_scheduler]: Cost for robot_1 -> clean_room_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717478.881465771] [fleet_scheduler]: Cost for robot_1 -> transport_equipment_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717478.882365872] [fleet_scheduler]: Cost for robot_1 -> restock_supplies_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717478.883346696] [fleet_scheduler]: Cost for robot_1 -> move_patient_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717478.884297839] [fleet_scheduler]: Cost for robot_1 -> deliver_lab_results_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717478.885306084] [fleet_scheduler]: Cost for robot_1 -> support_mri_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717478.886717476] [fleet_scheduler]: Cost for robot_2 -> deliver_meds_1: distance=6.0, congestion=4.0, predicted=33.01
